,origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile,filter
409,Tallahassee,Florida,30.4381,-84.2809,Atlanta,Georgia,33.7491,-84.3902,228.9291593958896,1
906,Augusta,Maine,44.3106,-69.7797,Hartford,Connecticut,41.7646,-72.6909,229.29682547480238,0
318,Hartford,Connecticut,41.7646,-72.6909,Augusta,Maine,44.3106,-69.7797,229.29682547480238,1
931,Augusta,Maine,44.3106,-69.7797,Albany,New York,42.6512,-73.755,229.9585277974683,0
1568,Albany,New York,42.6512,-73.755,Augusta,Maine,44.3106,-69.7797,229.9585277974683,1
1881,Harrisburg,Pennsylvania,40.2663,-76.8861,Albany,New York,42.6512,-73.755,231.20777737112064,0
1587,Albany,New York,42.6512,-73.755,Harrisburg,Pennsylvania,40.2663,-76.8861,231.20777737112064,1
356,Dover,Delaware,39.1582,-75.5244,Hartford,Connecticut,41.7646,-72.6909,233.7482784240706,0
307,Hartford,Connecticut,41.7646,-72.6909,Dover,Delaware,39.1582,-75.5244,233.7482784240706,1
722,Des Monies,Iowa,41.5872,-93.6219,St. Paul,Minnesota,44.9504,-93.1015,233.9167166090216,0
1114,St. Paul,Minnesota,44.9504,-93.1015,Des Monies,Iowa,41.5872,-93.6219,233.9167166090216,1
2279,Richmond,Virginia,37.5385,-77.4343,Trenton,New Jersey,40.2171,-74.7429,235.01293356007403,0
1495,Trenton,New Jersey,40.2171,-74.7429,Richmond,Virginia,37.5385,-77.4343,235.01293356007403,1
2297,Richmond,Virginia,37.5385,-77.4343,Charleston,West Virginia,38.3506,-81.6333,235.62253177731057,0
2395,Charleston,West Virginia,38.3506,-81.6333,Richmond,Virginia,37.5385,-77.4343,235.62253177731057,1
748,Des Monies,Iowa,41.5872,-93.6219,Madison,Wisconsin,43.0748,-89.3838,239.67294397789348,0
2414,Madison,Wisconsin,43.0748,-89.3838,Des Monies,Iowa,41.5872,-93.6219,239.67294397789348,1
1470,Trenton,New Jersey,40.2171,-74.7429,Boston,Massachusetts,42.3603,-71.0583,241.94463321042969,0
1029,Boston,Massachusetts,42.3603,-71.0583,Trenton,New Jersey,40.2171,-74.7429,241.94463321042969,1
337,Hartford,Connecticut,41.7646,-72.6909,Harrisburg,Pennsylvania,40.2663,-76.8861,242.01068350088462,0
1856,Harrisburg,Pennsylvania,40.2663,-76.8861,Hartford,Connecticut,41.7646,-72.6909,242.01068350088462,1
614,Springfield,Illinios,39.7997,-89.6475,Des Monies,Iowa,41.5872,-93.6219,242.11929783006696,0
712,Des Monies,Iowa,41.5872,-93.6219,Springfield,Illinios,39.7997,-89.6475,242.11929783006696,1
2382,Charleston,West Virginia,38.3506,-81.6333,Raleigh,North Carolina,35.7804,-78.6391,242.5059673977813,0
1647,Raleigh,North Carolina,35.7804,-78.6391,Charleston,West Virginia,38.3506,-81.6333,242.5059673977813,1
1098,Lansing,Michigan,42.7338,-84.5554,Madison,Wisconsin,43.0748,-89.3838,245.54225740498265,0
2421,Madison,Wisconsin,43.0748,-89.3838,Lansing,Michigan,42.7338,-84.5554,245.54225740498265,1
982,Annapolis,Maryland,38.9786,-76.4928,Raleigh,North Carolina,35.7804,-78.6391,250.4889128969188,0
1619,Raleigh,North Carolina,35.7804,-78.6391,Annapolis,Maryland,38.9786,-76.4928,250.4889128969188,1
691,Indianapolis,Indiana,39.7683,-86.1584,Nashville,Tennessee,36.1622,-86.7744,251.48349252707416,0
2063,Nashville,Tennessee,36.1622,-86.7744,Indianapolis,Indiana,39.7683,-86.1584,251.48349252707416,1
381,Dover,Delaware,39.1582,-75.5244,Albany,New York,42.6512,-73.755,258.4899810182526,0
1557,Albany,New York,42.6512,-73.755,Dover,Delaware,39.1582,-75.5244,258.4899810182526,1
2363,Charleston,West Virginia,38.3506,-81.6333,Indianapolis,Indiana,39.7683,-86.1584,261.8316691426852,0
697,Indianapolis,Indiana,39.7683,-86.1584,Charleston,West Virginia,38.3506,-81.6333,261.8316691426852,1
41,Montgomery,Alabama,32.367,-86.3006,Nashville,Tennessee,36.1622,-86.7744,263.6964405850182,0
2050,Nashville,Tennessee,36.1622,-86.7744,Montgomery,Alabama,32.367,-86.3006,263.6964405850182,1
1429,Concord,New Hampshire,43.2072,-71.5375,Trenton,New Jersey,40.2171,-74.7429,264.6412567625554,0
1478,Trenton,New Jersey,40.2171,-74.7429,Concord,New Hampshire,43.2072,-71.5375,264.6412567625554,1
1203,Jefferson City,Missouri,38.5774,-92.1724,Little Rock,Arkansas,34.7465,-92.2896,264.852266354685,0
174,Little Rock,Arkansas,34.7465,-92.2896,Jefferson City,Missouri,38.5774,-92.1724,264.852266354685,1
1765,Oklahoma City,Oklahoma,35.473,-97.5171,Topeka,Kansas,39.049,-95.6776,267.0486847932236,0
785,Topeka,Kansas,39.049,-95.6776,Oklahoma City,Oklahoma,35.473,-97.5171,267.0486847932236,1
956,Annapolis,Maryland,38.9786,-76.4928,Hartford,Connecticut,41.7646,-72.6909,277.71033689467725,0
