origin_city,origin_state,origin_lat,origin_lon,destination_city,destination_state,destination_lat,destination_lon,distance_mile
Nashville,Tennessee,36.1622296,-86.7743531,Columbus,Ohio,39.9622601,-83.0007065,333.3145352
Charleston,West Virginia,38.3505995,-81.6332812,Dover,Delaware,39.158168,-75.5243682,333.8897444
Boston,Massachusetts,42.3602534,-71.0582912,Harrisburg,Pennsylvania,40.2663107,-76.8861122,335.2713552
St. Paul,Minnesota,44.9504037,-93.1015026,Lincoln,Nebraska,40.8,-96.667821,338.9078404
Charleston,West Virginia,38.3505995,-81.6332812,Lansing,Michigan,42.7337712,-84.5553805,339.544235
Jefferson City,Missouri,38.577359,-92.1724265,Nashville,Tennessee,36.1622296,-86.7743531,340.1746239
Concord,New Hampshire,43.207178,-71.537476,Harrisburg,Pennsylvania,40.2663107,-76.8861122,342.5309098
Jefferson City,Missouri,38.577359,-92.1724265,Madison,Wisconsin,43.074761,-89.3837613,343.2983223
Columbus,Ohio,39.9622601,-83.0007065,Richmond,Virginia,37.5385087,-77.43428,343.5374552
Concord,New Hampshire,43.207178,-71.537476,Dover,Delaware,39.158168,-75.5243682,348.2195414
Salem,Oregon,44.9391565,-123.033121,Boise,Idaho,43.61656,-116.200835,350.1047237
Atlanta,Georgia,33.7490987,-84.3901849,Jackson,Mississippi,32.2990384,-90.1847691,350.366615
Topeka,Kansas,39.049011,-95.677556,Little Rock,Arkansas,34.7464809,-92.2895948,351.3493248
Columbus,Ohio,39.9622601,-83.0007065,Springfield,Illinios,39.799749,-89.647463,352.623312
Montpelier,Vermont,44.260445,-72.575684,Harrisburg,Pennsylvania,40.2663107,-76.8861122,353.1808379
Atlanta,Georgia,33.7490987,-84.3901849,Charleston,West Virginia,38.3505995,-81.6332812,353.3315858
Annapolis,Maryland,38.9786401,-76.492786,Columbus,Ohio,39.9622601,-83.0007065,353.7261837
Atlanta,Georgia,33.7490987,-84.3901849,Raleigh,North Carolina,35.7803977,-78.6390989,355.357498
Columbia,South Carolina,34.0007493,-81.0343313,Nashville,Tennessee,36.1622296,-86.7743531,357.2896845
Carson City,Neveda,39.169461,-119.766035,Boise,Idaho,43.61656,-116.200835,358.5803598
Pierre,South Dakoda,44.368431,-100.354013,St. Paul,Minnesota,44.9504037,-93.1015026,358.6817603
Oklahoma City,Oklahoma,35.4729886,-97.5170536,Austin,Texas,30.2711286,-97.7436995,359.7667865
Frankfort,Kentucky,38.2009055,-84.8732836,Columbia,South Carolina,34.0007493,-81.0343313,360.7911949
Jefferson City,Missouri,38.577359,-92.1724265,Oklahoma City,Oklahoma,35.4729886,-97.5170536,364.5939813
Annapolis,Maryland,38.9786401,-76.492786,Boston,Massachusetts,42.3602534,-71.0582912,368.3553145
Salt Lake City,Utah,40.7670126,-111.8904308,Cheyenne,Wyoming,41.14,-104.82,369.8627279
Denver,Colorado,39.7392364,-104.9848623,Salt Lake City,Utah,40.7670126,-111.8904308,371.0136654
Oklahoma City,Oklahoma,35.4729886,-97.5170536,Lincoln,Nebraska,40.8,-96.667821,371.0535285
Tallahassee,Florida,30.4380832,-84.2809332,Jackson,Mississippi,32.2990384,-90.1847691,371.3161738
Raleigh,North Carolina,35.7803977,-78.6390989,Trenton,New Jersey,40.2170575,-74.7429463,372.8095679
Raleigh,North Carolina,35.7803977,-78.6390989,Columbus,Ohio,39.9622601,-83.0007065,374.2776587
Springfield,Illinios,39.799749,-89.647463,Lincoln,Nebraska,40.8,-96.667821,376.3487694
