origin,destination
"Little Rock,Arkansas,34.7464809,-92.2895948","Honolulu,Hawaii,21.3250785,-157.8466442"
"Little Rock,Arkansas,34.7464809,-92.2895948","Boise,Idaho,43.61656,-116.20083500000001"
"Little Rock,Arkansas,34.7464809,-92.2895948","Springfield,Illinios,39.799749,-89.647463"
"Little Rock,Arkansas,34.7464809,-92.2895948","Indianapolis,Indiana,39.7683331,-86.1583502"
"Little Rock,Arkansas,34.7464809,-92.2895948","Des Monies,Iowa,41.587185999999996,-93.621949"
"Little Rock,Arkansas,34.7464809,-92.2895948","Topeka,Kansas,39.049011,-95.67755600000001"
"Little Rock,Arkansas,34.7464809,-92.2895948","Frankfort,Kentucky,38.2009055,-84.8732836"
"Little Rock,Arkansas,34.7464809,-92.2895948","Baton Rouge,Louisiana,30.445959600000002,-91.18738"
"Little Rock,Arkansas,34.7464809,-92.2895948","Augusta,Maine,44.310583,-69.779663"
"Little Rock,Arkansas,34.7464809,-92.2895948","Annapolis,Maryland,38.9786401,-76.492786"
"Little Rock,Arkansas,34.7464809,-92.2895948","Boston,Massachusetts,42.3602534,-71.0582912"
"Little Rock,Arkansas,34.7464809,-92.2895948","Lansing,Michigan,42.73377120000001,-84.5553805"
"Little Rock,Arkansas,34.7464809,-92.2895948","St. Paul,Minnesota,44.9504037,-93.10150259999999"
"Little Rock,Arkansas,34.7464809,-92.2895948","Jackson,Mississippi,32.29903839999999,-90.1847691"
"Little Rock,Arkansas,34.7464809,-92.2895948","Jefferson City,Missouri,38.577359,-92.1724265"
"Little Rock,Arkansas,34.7464809,-92.2895948","Helena,Montana,46.592712,-112.03610900000001"
"Little Rock,Arkansas,34.7464809,-92.2895948","Lincoln,Nebraska,40.8,-96.66782099999999"
"Little Rock,Arkansas,34.7464809,-92.2895948","Carson City,Neveda,39.169461,-119.766035"
"Little Rock,Arkansas,34.7464809,-92.2895948","Concord,New Hampshire,43.207178000000006,-71.537476"
"Little Rock,Arkansas,34.7464809,-92.2895948","Trenton,New Jersey,40.2170575,-74.7429463"
"Little Rock,Arkansas,34.7464809,-92.2895948","Santa Fe,New Mexico,35.68699960000001,-105.9377997"
"Little Rock,Arkansas,34.7464809,-92.2895948","Albany,New York,42.6511674,-73.754968"
"Little Rock,Arkansas,34.7464809,-92.2895948","Raleigh,North Carolina,35.7803977,-78.63909890000001"
"Little Rock,Arkansas,34.7464809,-92.2895948","Bismarck,North Dakota,46.808327,-100.783739"
"Little Rock,Arkansas,34.7464809,-92.2895948","Columbus,Ohio,39.9622601,-83.00070649999999"
"Little Rock,Arkansas,34.7464809,-92.2895948","Oklahoma City,Oklahoma,35.4729886,-97.5170536"
"Little Rock,Arkansas,34.7464809,-92.2895948","Salem,Oregon,44.9391565,-123.033121"
"Little Rock,Arkansas,34.7464809,-92.2895948","Harrisburg,Pennsylvania,40.266310700000005,-76.8861122"
"Little Rock,Arkansas,34.7464809,-92.2895948","Providence,Rhoda Island,41.824877,-71.413618"
"Little Rock,Arkansas,34.7464809,-92.2895948","Columbia,South Carolina,34.000749299999995,-81.03433129999999"
"Little Rock,Arkansas,34.7464809,-92.2895948","Pierre,South Dakoda,44.368431,-100.354013"
"Little Rock,Arkansas,34.7464809,-92.2895948","Nashville,Tennessee,36.1622296,-86.7743531"
"Little Rock,Arkansas,34.7464809,-92.2895948","Austin,Texas,30.2711286,-97.7436995"
"Little Rock,Arkansas,34.7464809,-92.2895948","Salt Lake City,Utah,40.7670126,-111.89043079999999"
"Little Rock,Arkansas,34.7464809,-92.2895948","Montpelier,Vermont,44.260445000000004,-72.575684"
